airportID,airportName,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,dst
90,Fort Mcmurray,Fort Mcmurray,Canada,YMM,CYMM,56.653333,-111.221944,1211,-7,A
91,Moosonee,Moosonee,Canada,YMO,CYMO,51.291111,-80.607778,30,-5,A
94,Natashquan,Natashquan,Canada,YNA,CYNA,50.19,-61.789167,39,-4,A
97,Old Crow,Old Crow,Canada,YOC,CYOC,67.570556,-139.839167,824,-8,A
99,High Level,High Level,Canada,YOJ,CYOJ,58.621389,-117.164722,1110,-7,A
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,CYOW,45.3225,-75.669167,374,-5,A
105,Pickle Lake,Pickle Lake,Canada,YPL,CYPL,51.446388,-90.214167,1267,-6,A
108,Prince Rupert,Prince Pupert,Canada,YPR,CYPR,54.28611,-130.444722,116,-8,A
109,Fort Chipewyan,Fort Chipewyan,Canada,YPY,CYPY,58.767223,-111.117222,761,-7,A
111,Quebec Jean Lesage Intl,Quebec,Canada,YQB,CYQB,46.791111,-71.393333,244,-5,A
112,Red Deer Regional,Red Deer Industrial,Canada,YQF,CYQF,52.182222,-113.894444,2968,-7,A
113,Windsor,Windsor,Canada,YQG,CYQG,42.275556,-82.955556,622,-5,A
115,Kenora,Kenora,Canada,YQK,CYQK,49.788334,-94.363056,1332,-6,A
116,Lethbridge,Lethbridge,Canada,YQL,CYQL,49.630278,-112.799722,3047,-7,A
117,Greater Moncton Intl,Moncton,Canada,YQM,CYQM,46.112221,-64.678611,232,-4,A
119,Comox,Comox,Canada,YQQ,CYQQ,49.710833,-124.886667,84,-8,A
120,Regina Intl,Regina,Canada,YQR,CYQR,50.431944,-104.665833,1894,-6,N
121,Thunder Bay,Thunder Bay,Canada,YQT,CYQT,48.371944,-89.323889,653,-5,A
122,Grande Prairie,Grande Prairie,Canada,YQU,CYQU,55.179722,-118.885,2195,-7,A
125,Gander Intl,Gander,Canada,YQX,CYQX,48.936944,-54.568056,496,-4,A
126,Sydney,Sydney,Canada,YQY,CYQY,46.161388,-60.047779,203,-4,A
127,Quesnel,Quesnel,Canada,YQZ,CYQZ,53.026112,-122.510278,1789,-8,A
128,Resolute Bay,Resolute,Canada,YRB,CYRB,74.716944,-94.969444,215,-6,A
130,Roberval,Roberval,Canada,YRJ,CYRJ,48.52,-72.265556,586,-5,A
132,Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT,62.81139,-92.115833,94,-6,A
133,Sudbury,Sudbury,Canada,YSB,CYSB,46.625,-80.798889,1141,-5,A
135,Saint John,St. John,Canada,YSJ,CYSJ,45.316111,-65.890278,357,-4,A
136,Fort Smith,Fort Smith,Canada,YSM,CYSM,60.020278,-111.961944,671,-7,A
139,Sachs Harbour,Sachs Harbour,Canada,YSY,CYSY,71.993889,-125.2425,282,-7,A
140,Cape Dorset,Cape Dorset,Canada,YTE,CYTE,64.23,-76.526667,164,-5,A
141,Thompson,Thompson,Canada,YTH,CYTH,55.801111,-97.864166,729,-6,A
143,Timmins,Timmins,Canada,YTS,CYTS,48.569721,-81.376667,967,-5,A
144,City Centre,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396167,251,-5,A
145,Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,CYUB,69.433334,-133.026389,15,-7,A
146,Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,CYUL,45.470556,-73.740833,118,-5,A
147,Repulse Bay,Repulse Bay,Canada,YUT,CYUT,66.521389,-86.224722,80,-6,A
148,Hall Beach,Hall Beach,Canada,YUX,CYUX,68.776111,-81.243611,27,-5,A
149,Rouyn Noranda,Rouyn,Canada,YUY,CYUY,48.206111,-78.835556,988,-5,A
152,Qikiqtarjuaq,Broughton Island,Canada,YVM,CYVM,67.545833,-64.031389,21,-5,A
153,Val D Or,Val D'or,Canada,YVO,CYVO,48.053333,-77.782778,1107,-5,A
154,Kuujjuaq,Quujjuaq,Canada,YVP,CYVP,58.096111,-68.426944,129,-5,A
155,Norman Wells,Norman Wells,Canada,YVQ,CYVQ,65.281617,-126.798219,238,-7,A
156,Vancouver Intl,Vancouver,Canada,YVR,CYVR,49.193889,-123.184444,14,-8,A
160,Winnipeg Intl,Winnipeg,Canada,YWG,CYWG,49.910036,-97.239886,783,-6,A
161,Wabush,Wabush,Canada,YWK,CYWK,52.921944,-66.864444,1808,-4,A
162,Williams Lake,Williams Lake,Canada,YWL,CYWL,52.183056,-122.054167,3085,-8,A
164,Canadian Rockies Intl,Cranbrook,Canada,YXC,CYXC,49.612222,-115.781944,3084,-7,A
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,CYXE,52.170834,-106.699722,1653,-6,N
167,Medicine Hat,Medicine Hat,Canada,YXH,CYXH,50.01889,-110.720833,2352,-7,A
168,Fort St John,Fort Saint John,Canada,YXJ,CYXJ,56.238056,-120.740278,2280,-8,A
169,Sioux Lookout,Sioux Lookout,Canada,YXL,CYXL,50.113889,-91.905278,1258,-6,A
170,Pangnirtung,Pangnirtung,Canada,YXP,CYXP,66.145,-65.713611,75,-5,A
172,Prince George,Prince George,Canada,YXS,CYXS,53.889444,-122.678889,2267,-8,A
173,Terrace,Terrace,Canada,YXT,CYXT,54.468508,-128.576219,713,-8,A
174,London,London,Canada,YXU,CYXU,43.033056,-81.151111,912,-5,A
175,Abbotsford,Abbotsford,Canada,YXX,CYXX,49.025278,-122.360556,195,-8,A
176,Whitehorse Intl,Whitehorse,Canada,YXY,CYXY,60.709553,-135.067269,2317,-8,A
177,North Bay,North Bay,Canada,YYB,CYYB,46.363611,-79.422778,1215,-5,A
178,Calgary Intl,Calgary,Canada,YYC,CYYC,51.113888,-114.020278,3557,-7,A
179,Smithers,Smithers,Canada,YYD,CYYD,54.824722,-127.182778,1712,-8,A
180,Fort Nelson,Fort Nelson,Canada,YYE,CYYE,58.836389,-122.596944,1253,-8,A
181,Penticton,Penticton,Canada,YYF,CYYF,49.463056,-119.602222,1129,-8,A
182,Charlottetown,Charlottetown,Canada,YYG,CYYG,46.290001,-63.121111,160,-4,A
183,Taloyoak,Spence Bay,Canada,YYH,CYYH,69.546667,-93.576667,92,-6,A
184,Victoria Intl,Victoria,Canada,YYJ,CYYJ,48.646944,-123.425833,63,-8,A
187,Churchill,Churchill,Canada,YYQ,CYYQ,58.739167,-94.065,94,-6,A
188,Goose Bay,Goose Bay,Canada,YYR,CYYR,53.319168,-60.425833,160,-4,A
189,St Johns Intl,St. John's,Canada,YYT,CYYT,47.61861,-52.751945,461,-3.5,A
190,Kapuskasing,Kapuskasing,Canada,YYU,CYYU,49.413889,-82.4675,743,-5,A
192,Mont Joli,Mont Joli,Canada,YYY,CYYY,48.608612,-68.208056,172,-5,A
193,Lester B Pearson Intl,Toronto,Canada,YYZ,CYYZ,43.677223,-79.630556,569,-5,A
196,Yellowknife,Yellowknife,Canada,YZF,CYZF,62.462778,-114.440278,675,-7,A
198,Sandspit,Sandspit,Canada,YZP,CYZP,53.254333,-131.813833,21,-8,A
199,Chris Hadfield,Sarnia,Canada,YZR,CYZR,42.999444,-82.308889,594,-5,A
200,Port Hardy,Port Hardy,Canada,YZT,CYZT,50.680556,-127.366667,71,-8,A
202,Sept Iles,Sept-iles,Canada,YZV,CYZV,50.223333,-66.265556,180,-5,A
206,Fort Mcpherson,Fort Mcpherson,Canada,ZFM,CZFM,67.4075,-134.860556,116,-7,A
209,Soummam,Bejaja,Algeria,BJA,DAAE,36.711997,5.069922,20,1,N
210,Houari Boumediene,Algier,Algeria,ALG,DAAG,36.691014,3.215408,82,1,N
214,Illizi Takhamalt,Illizi,Algeria,VVZ,DAAP,26.723536,8.622653,1778,1,N
216,Tamanrasset,Tamanrasset,Algeria,TMR,DAAT,22.811461,5.451075,4518,1,N
217,Jijel,Jijel,Algeria,GJL,DAAV,36.795136,5.873608,36,1,N
220,Annaba,Annaba,Algeria,AAE,DABB,36.822225,7.809167,16,1,N
221,Mohamed Boudiaf Intl,Constantine,Algeria,CZL,DABC,36.276028,6.620386,2265,1,N
222,Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,DABS,35.431611,8.120717,2661,1,N
225,Bou Chekif,Tiaret,Algeria,TID,DAOB,35.341136,1.463147,3245,1,N
230,Zenata,Tlemcen,Algeria,TLM,DAON,35.016667,-1.45,814,1,N
231,Es Senia,Oran,Algeria,ORN,DAOO,35.623858,-0.621183,295,1,N
233,Ghriss,Ghriss,Algeria,MUW,DAOV,35.207725,0.147142,1686,1,N
235,Biskra,Biskra,Algeria,BSK,DAUB,34.793289,5.738231,289,1,N
237,Noumerat,Ghardaia,Algeria,GHA,DAUG,32.384106,3.794114,1512,1,N
238,Oued Irara,Hassi Messaoud,Algeria,HME,DAUH,31.672972,6.140444,463,1,N
239,In Salah,In Salah,Algeria,INZ,DAUI,27.251022,2.512017,896,1,N
240,Sidi Mahdi,Touggourt,Algeria,TGR,DAUK,33.067803,6.088672,279,1,N
241,Laghouat,Laghouat,Algeria,LOO,DAUL,33.764383,2.928344,2510,1,N
243,Ouargla,Ouargla,Algeria,OGX,DAUU,31.917223,5.412778,492,1,N
245,Cadjehoun,Cotonou,Benin,COO,DBBB,6.357228,2.384353,19,1,N
246,Ouagadougou,Ouagadougou,Burkina Faso,OUA,DFFD,12.353194,-1.512417,1037,0,N
247,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160056,-4.330969,1511,0,N
248,Kotoka Intl,Accra,Ghana,ACC,DGAA,5.605186,-0.166786,205,0,N
249,Tamale,Tamale,Ghana,TML,DGLE,9.557192,-0.863214,553,0,N
251,Sunyani,Sunyani,Ghana,NYI,DGSN,7.361828,-2.328756,1014,0,N
252,Takoradi,Takoradi,Ghana,TKD,DGTK,4.896056,-1.774756,21,0,N
253,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261386,-3.926294,21,0,N
260,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N
262,Benin,Benin,Nigeria,BNI,DNBE,6.316981,5.599503,258,1,N
263,Calabar,Calabar,Nigeria,CBQ,DNCA,4.976019,8.347197,210,1,N
264,Enugu,Enugu,Nigeria,ENU,DNEN,6.474272,7.561961,466,1,N
266,Ibadan,Ibadan,Nigeria,IBA,DNIB,7.362458,3.978333,725,1,N
267,Ilorin,Ilorin,Nigeria,ILR,DNIL,8.440211,4.493919,1126,1,N
268,Yakubu Gowon,Jos,Nigeria,JOS,DNJO,9.639828,8.86905,4232,1,N
269,Kaduna,Kaduna,Nigeria,KAD,DNKA,10.696025,7.320114,2073,1,N
270,Mallam Aminu Intl,Kano,Nigeria,KAN,DNKN,12.047589,8.524622,1562,1,N
271,Maiduguri,Maiduguri,Nigeria,MIU,DNMA,11.855347,13.08095,1099,1,N
273,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N
275,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N
276,Sadiq Abubakar Iii Intl,Sokoto,Nigeria,SKO,DNSO,12.916322,5.207189,1010,1,N
277,Yola,Yola,Nigeria,YOL,DNYO,9.257553,12.430422,599,1,N
280,Diori Hamani,Niamey,Niger,NIM,DRRN,13.481547,2.183614,732,1,N
286,Habib Bourguiba Intl,Monastir,Tunisia,MIR,DTMB,35.758056,10.754722,9,0,E
287,Carthage,Tunis,Tunisia,TUN,DTTA,36.851033,10.227217,22,0,E
293,Zarzis,Djerba,Tunisia,DJE,DTTJ,33.875031,10.775461,19,0,E
295,Thyna,Sfax,Tunisia,SFA,DTTX,34.717953,10.690972,85,0,E
296,Nefta,Tozeur,Tunisia,TOE,DTTZ,33.939722,8.110556,287,0,E
298,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.165611,1.254511,72,1,N
299,Deurne,Antwerp,Belgium,ANR,EBAW,51.189444,4.460278,39,1,E
302,Brussels Natl,Brussels,Belgium,BRU,EBBR,50.901389,4.484444,184,1,E
304,Brussels South,Charleroi,Belgium,CRL,EBCI,50.459197,4.453817,614,1,E
337,Schonefeld,Berlin,Germany,SXF,EDDB,52.380001,13.5225,157,1,E
338,Dresden,Dresden,Germany,DRS,EDDC,51.132767,13.767161,755,1,E
339,Erfurt,Erfurt,Germany,ERF,EDDE,50.979811,10.958106,1036,1,E
340,Frankfurt Main,Frankfurt,Germany,FRA,EDDF,50.026421,8.543125,364,1,E
341,Munster Osnabruck,Munster,Germany,FMO,EDDG,52.134642,7.684831,160,1,E
342,Hamburg,Hamburg,Germany,HAM,EDDH,53.630389,9.988228,53,1,E
344,Koln Bonn,Cologne,Germany,CGN,EDDK,50.865917,7.142744,302,1,E
345,Dusseldorf,Duesseldorf,Germany,DUS,EDDL,51.289453,6.766775,147,1,E
346,Franz Josef Strauss,Munich,Germany,MUC,EDDM,48.353783,11.786086,1487,1,E
347,Nurnberg,Nuernberg,Germany,NUE,EDDN,49.4987,11.066897,1046,1,E
348,Leipzig Halle,Leipzig,Germany,LEJ,EDDP,51.432447,12.241633,465,1,E
349,Saarbrucken,Saarbruecken,Germany,SCN,EDDR,49.214553,7.109508,1058,1,E
350,Stuttgart,Stuttgart,Germany,STR,EDDS,48.689878,9.221964,1276,1,E
351,Tegel,Berlin,Germany,TXL,EDDT,52.559686,13.287711,122,1,E
352,Hannover,Hannover,Germany,HAJ,EDDV,52.461056,9.685078,183,1,E
353,Neuenland,Bremen,Germany,BRE,EDDW,53.0475,8.786667,14,1,E
355,Frankfurt Hahn,Hahn,Germany,HHN,EDFH,49.948672,7.263892,1649,1,E
364,Lubeck Blankensee,Luebeck,Germany,LBC,EDHL,53.805367,10.719222,53,1,E
371,Paderborn Lippstadt,Paderborn,Germany,PAD,EDLP,51.614089,8.616317,699,1,E
373,Dortmund,Dortmund,Germany,DTM,EDLW,51.518314,7.612242,425,1,E
374,Augsburg,Augsburg,Germany,AGB,EDMA,48.425158,10.931764,1515,1,E
382,Friedrichshafen,Friedrichshafen,Germany,FDH,EDNY,47.671317,9.511486,1367,1,E
410,Westerland Sylt,Westerland,Germany,GWT,EDXW,54.91325,8.340472,51,1,E
412,Kardla,Kardla,Estonia,KDL,EEKA,58.990756,22.830733,18,2,E
413,Kuressaare,Kuressaare,Estonia,URE,EEKE,58.229883,22.509494,14,2,E
415,Tallinn,Tallinn-ulemiste International,Estonia,TLL,EETN,59.413317,24.832844,131,2,E
416,Tartu,Tartu,Estonia,TAY,EETU,58.307461,26.690428,219,2,E
421,Helsinki Vantaa,Helsinki,Finland,HEL,EFHK,60.317222,24.963333,179,2,E
428,Ivalo,Ivalo,Finland,IVL,EFIV,68.607269,27.405328,481,2,E
429,Joensuu,Joensuu,Finland,JOE,EFJO,62.662906,29.60755,398,2,E
430,Jyvaskyla,Jyvaskyla,Finland,JYV,EFJY,62.399453,25.678253,459,2,E
432,Kemi Tornio,Kemi,Finland,KEM,EFKE,65.781889,24.5991,61,1,E
433,Kajaani,Kajaani,Finland,KAJ,EFKI,64.285472,27.692414,483,2,E
435,Kruunupyy,Kruunupyy,Finland,KOK,EFKK,63.721172,23.143131,84,2,E
437,Kuusamo,Kuusamo,Finland,KAO,EFKS,65.987575,29.239381,866,2,E
438,Kittila,Kittila,Finland,KTT,EFKT,67.701022,24.84685,644,2,E
439,Kuopio,Kuopio,Finland,KUO,EFKU,63.00715,27.797756,323,2,E
441,Lappeenranta,Lappeenranta,Finland,LPP,EFLP,61.044553,28.144397,349,2,E
442,Mariehamn,Mariehamn,Finland,MHQ,EFMA,60.122203,19.898156,17,2,E
446,Oulu,Oulu,Finland,OUL,EFOU,64.930061,25.354564,47,2,E
448,Pori,Pori,Finland,POR,EFPO,61.461686,21.799983,44,2,E
453,Rovaniemi,Rovaniemi,Finland,RVN,EFRO,66.564822,25.830411,642,2,E
455,Savonlinna,Savonlinna,Finland,SVL,EFSA,61.943064,28.945136,311,2,E
458,Tampere Pirkkala,Tampere,Finland,TMP,EFTP,61.414147,23.604392,390,2,E
460,Turku,Turku,Finland,TKU,EFTU,60.514142,22.262808,161,2,E
462,Vaasa,Vaasa,Finland,VAA,EFVA,63.05065,21.762175,19,2,E
463,Varkaus,Varkaus,Finland,VRK,EFVR,62.171111,27.868611,286,2,E
465,Belfast Intl,Belfast,United Kingdom,BFS,EGAA,54.6575,-6.215833,268,0,E
467,Belfast City,Belfast,United Kingdom,BHD,EGAC,54.618056,-5.8725,15,0,E
468,City of Derry,Londonderry,United Kingdom,LDY,EGAE,55.042778,-7.161111,22,0,E
469,Birmingham,Birmingham,United Kingdom,BHX,EGBB,52.453856,-1.748028,327,0,E
472,Gloucestershire,Golouchestershire,United Kingdom,GLO,EGBJ,51.894167,-2.167222,101,0,E
478,Manchester,Manchester,United Kingdom,MAN,EGCC,53.353744,-2.27495,257,0,E
481,St Mawgan,Newquai,United Kingdom,NQY,EGDG,50.440558,-4.995408,390,0,E
488,Cardiff,Cardiff,United Kingdom,CWL,EGFF,51.396667,-3.343333,220,0,E
490,Bristol,Bristol,United Kingdom,BRS,EGGD,51.382669,-2.719089,622,0,E
491,Liverpool,Liverpool,United Kingdom,LPL,EGGP,53.333611,-2.849722,80,0,E
492,Luton,London,United Kingdom,LTN,EGGW,51.874722,-0.368333,526,0,E
494,Bournemouth,Bournemouth,United Kingdom,BOH,EGHH,50.78,-1.8425,38,0,E
495,Southampton,Southampton,United Kingdom,SOU,EGHI,50.950261,-1.356803,44,0,E
497,Alderney,Alderney,Guernsey,ACI,EGJA,49.706111,-2.214722,290,0,E
498,Guernsey,Guernsey,Guernsey,GCI,EGJB,49.434956,-2.601969,336,0,E
499,Jersey,Jersey,Jersey,JER,EGJJ,49.207947,-2.195508,277,0,E
502,Gatwick,London,United Kingdom,LGW,EGKK,51.148056,-0.190278,202,0,E
503,City,London,United Kingdom,LCY,EGLC,51.505278,0.055278,19,0,E
507,Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E
508,Southend,Southend,United Kingdom,SEN,EGMC,51.571389,0.695556,49,0,E
514,Blackpool,Blackpool,United Kingdom,BLK,EGNH,53.771667,-3.028611,34,0,E
515,Humberside,Humberside,United Kingdom,HUY,EGNJ,53.574444,-0.350833,121,0,E
517,Leeds Bradford,Leeds,United Kingdom,LBA,EGNM,53.865897,-1.660569,681,0,E
520,Isle Of Man,Isle Of Man,Isle of Man,IOM,EGNS,54.083333,-4.623889,52,0,E
521,Newcastle,Newcastle,United Kingdom,NCL,EGNT,55.0375,-1.691667,266,0,E
522,Durham Tees Valley Airport,Teesside,United Kingdom,MME,EGNV,54.509189,-1.429406,120,0,E
523,Nottingham East Midlands,East Midlands,United Kingdom,EMA,EGNX,52.831111,-1.328056,306,0,E
529,Kirkwall,Kirkwall,United Kingdom,KOI,EGPA,58.957778,-2.905,50,0,E
530,Sumburgh,Sumburgh,United Kingdom,LSI,EGPB,59.878889,-1.295556,20,0,E
531,Wick,Wick,United Kingdom,WIC,EGPC,58.458889,-3.093056,126,0,E
532,Dyce,Aberdeen,United Kingdom,ABZ,EGPD,57.201944,-2.197778,215,0,E
533,Inverness,Inverness,United Kingdom,INV,EGPE,57.5425,-4.0475,31,0,E
534,Glasgow,Glasgow,United Kingdom,GLA,EGPF,55.871944,-4.433056,26,0,E
535,Edinburgh,Edinburgh,United Kingdom,EDI,EGPH,55.95,-3.3725,135,0,E
536,Islay,Islay,United Kingdom,ILY,EGPI,55.681944,-6.256667,56,0,E
537,Prestwick,Prestwick,United Kingdom,PIK,EGPK,55.509444,-4.586667,65,0,E
538,Benbecula,Benbecula,United Kingdom,BEB,EGPL,57.481111,-7.362778,19,0,E
540,Dundee,Dundee,United Kingdom,DND,EGPN,56.452499,-3.025833,17,0,E
541,Stornoway,Stornoway,United Kingdom,SYY,EGPO,58.215556,-6.331111,26,0,E
542,Tiree,Tiree,United Kingdom,TRE,EGPU,56.499167,-6.869167,38,0,E
547,Norwich,Norwich,United Kingdom,NWI,EGSH,52.675833,1.282778,117,0,E
548,Stansted,London,United Kingdom,STN,EGSS,51.885,0.235,348,0,E
552,Exeter,Exeter,United Kingdom,EXT,EGTE,50.734444,-3.413889,102,0,E
554,Kidlington,Oxford,United Kingdom,OXF,EGTK,51.836944,-1.32,270,0,E
579,Mount Pleasant,Mount Pleasant,Falkland Islands,MPN,EGYP,-51.822777,-58.447222,244,-4,U
580,Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308613,4.763889,-11,1,E
582,Maastricht,Maastricht,Netherlands,MST,EHBK,50.911658,5.770144,375,1,E
585,Eindhoven,Eindhoven,Netherlands,EIN,EHEH,51.450139,5.374528,74,1,E
586,Eelde,Groningen,Netherlands,GRQ,EHGG,53.11972,6.579444,17,1,E
591,Rotterdam,Rotterdam,Netherlands,RTM,EHRD,51.956944,4.437222,-15,1,E
596,Cork,Cork,Ireland,ORK,EICK,51.841269,-8.491111,502,0,E
599,Dublin,Dublin,Ireland,DUB,EIDW,53.421333,-6.270075,242,0,E
600,Ireland West Knock,Connaught,Ireland,NOC,EIKN,53.910297,-8.818492,665,0,E
601,Kerry,Kerry,Ireland,KIR,EIKY,52.180878,-9.523783,112,0,E
603,Shannon,Shannon,Ireland,SNN,EINN,52.701978,-8.924817,46,0,E
605,Waterford,Waterford,Ireland,WAT,EIWF,52.1872,-7.086964,119,0,E
607,Aarhus,Aarhus,Denmark,AAR,EKAH,56.300017,10.619008,82,1,E
608,Billund,Billund,Denmark,BLL,EKBI,55.740322,9.151778,247,1,E
609,Kastrup,Copenhagen,Denmark,CPH,EKCH,55.617917,12.655972,17,1,E
610,Esbjerg,Esbjerg,Denmark,EBJ,EKEB,55.525942,8.553403,97,1,E
612,Karup,Karup,Denmark,KRP,EKKA,56.297458,9.124628,170,1,E
625,Vagar,Vagar,Faroe Islands,FAE,EKVG,62.063628,-7.277219,280,0,E
628,Aalborg,Aalborg,Denmark,AAL,EKYT,57.092789,9.849164,10,1,E
629,Luxembourg,Luxemburg,Luxembourg,LUX,ELLX,49.626575,6.211517,1234,1,E
630,Vigra,Alesund,Norway,AES,ENAL,62.560372,6.110164,69,1,E
631,Andenes,Andoya,Norway,ANX,ENAN,69.2925,16.144167,43,1,E
632,Alta,Alta,Norway,ALF,ENAT,69.976111,23.371667,9,1,E
